time,open,high,low,close,volume
1566324012019,21.274,21.3,21.159,21.243,1658.0
1566410409602,21.144,21.241,21.144,21.197,157.0
1566496811728,21.262,21.36,21.186,21.241,2528.0
1566583212759,21.341,21.355,20.806,21.186,5798.0
1566842411351,20.703,20.91,20.684,20.806,22233.0
1566928811907,20.854,21.02,20.83,20.798,4308.0
1567015211751,20.86,20.965,20.77,20.913,5051.0
1567101612324,20.969,21.298,20.969,20.965,1765.0
1567188013481,21.354,21.497,21.354,21.298,2108.0
1567447212767,21.398,21.498,21.398,21.417,1306.0
1567533611811,21.372,21.45,21.301,21.419,4462.0
1567620013246,21.494,21.519,21.39,21.346,2455.0
1567706416577,21.626,21.75,21.572,21.428,15419.0
1567792810569,21.754,21.829,21.749,21.744,1730.0
1568052012310,21.847,21.855,21.745,21.754,6850.0
1568138412009,21.7,21.703,21.6,21.762,4178.0
1568224811426,21.754,21.936,21.75,21.605,2724.0
1568311210716,22.023,22.2,21.93,21.936,2670.0
1568397611950,21.918,21.967,21.918,21.984,3217.0
1568656811233,21.82,21.995,21.82,21.94,2559.0
1568743212201,21.936,21.974,21.878,21.968,3458.0
1568829612289,21.899,21.931,21.849,21.888,1494.0
1568916011412,21.865,22.057,21.864,21.849,2927.0
1569002424227,21.956,22.093,21.938,22.057,975.0
1569261611864,22.0,22.0,21.911,22.08,2049.0
1569348011603,22.027,22.058,21.937,21.957,3795.0
1569434412984,21.795,21.903,21.7,21.937,2320.0
1569520814037,21.963,22.095,21.9,21.903,607.0
1569607210384,22.055,22.077,21.997,21.9,8254.0
1569866410589,21.914,22.055,21.914,21.997,3667.0
1569952811342,22.171,22.175,21.86,22.055,3645.0
1570039210708,21.726,21.728,21.246,21.864,8725.0
1570125613206,21.326,21.335,20.97,21.246,5515.0
1570212013549,21.388,21.596,21.316,21.225,2361.0
1570471212569,21.615,21.705,21.584,21.596,4604.0
1570557611688,21.652,21.652,21.34,21.705,9735.0
1570644013172,21.313,21.475,21.313,21.358,21467.0
1570730412254,21.39,21.608,21.332,21.427,3113.0
1570816813017,21.622,21.878,21.622,21.608,9765.0
1571076011587,21.767,21.767,21.632,21.878,1098.0
1571162412226,21.827,21.951,21.818,21.758,8402.0
1571248812010,21.892,21.92,21.82,21.924,1216.0
1571335212932,21.803,21.84,21.751,21.832,8293.0
1571421614230,21.765,21.767,21.673,21.751,861.0
1571680813414,21.675,21.766,21.651,21.673,2004.0
1571767215703,21.815,21.835,21.79,21.766,927.0
1571853612303,21.744,21.812,21.71,21.823,1234.0
1571940011255,21.832,21.931,21.8,21.802,2659.0
1572026412497,21.891,22.048,21.845,21.931,1379.0
1572289211195,22.061,22.16,22.045,22.048,1836.0
1572375611193,22.159,22.159,22.099,22.125,8718.0
1572462014553,22.078,22.124,22.039,22.144,1712.0
1572548411254,22.09,22.093,21.945,22.06,14324.0
1572634829614,22.02,22.151,22.02,21.945,199.0
1572894010474,22.258,22.353,22.249,22.143,6373.0
1572980410951,22.376,22.519,22.366,22.345,4721.0
1573066812892,22.43,22.455,22.396,22.473,7037.0
1573153211669,22.577,22.668,22.542,22.455,1183.0
